证券代码,证券简称
850111.SI,种子生产(申万)
850112.SI,粮食种植(申万)
850113.SI,其他种植业(申万)
850121.SI,海洋捕捞(申万)
850122.SI,水产养殖(申万)
850131.SI,林业Ⅲ(申万)
850141.SI,饲料Ⅲ(申万)
850151.SI,果蔬加工(申万)
850152.SI,粮油加工(申万)
850154.SI,其他农产品加工(申万)
850161.SI,农业综合Ⅲ(申万)
850171.SI,畜禽养殖Ⅲ(申万)
850181.SI,动物保健Ⅲ(申万)
850211.SI,石油开采Ⅲ(申万)
850221.SI,煤炭开采Ⅲ(申万)
850222.SI,焦炭加工(申万)
850231.SI,其他采掘Ⅲ(申万)
850241.SI,油气钻采服务(申万)
850242.SI,其他采掘服务(申万)
850311.SI,石油加工(申万)
850313.SI,石油贸易(申万)
850321.SI,纯碱(申万)
850322.SI,氯碱(申万)
850323.SI,无机盐(申万)
850324.SI,其他化学原料(申万)
850331.SI,氮肥(申万)
850332.SI,磷肥(申万)
850333.SI,农药(申万)
850334.SI,日用化学产品(申万)
850335.SI,涂料油漆油墨制造(申万)
850336.SI,钾肥(申万)
850337.SI,民爆用品(申万)
850338.SI,纺织化学用品(申万)
850339.SI,其他化学制品(申万)
850341.SI,涤纶(申万)
850342.SI,维纶(申万)
850343.SI,粘胶(申万)
850344.SI,其他纤维(申万)
850345.SI,氨纶(申万)
850351.SI,其他塑料制品(申万)
850352.SI,合成革(申万)
850353.SI,改性塑料(申万)
850361.SI,轮胎(申万)
850362.SI,其他橡胶制品(申万)
850363.SI,炭黑(申万)
850372.SI,聚氨酯(申万)
850373.SI,玻纤(申万)
850381.SI,复合肥(申万)
850382.SI,氟化工及制冷剂(申万)
850383.SI,磷化工及磷酸盐(申万)
850411.SI,普钢(申万)
850412.SI,特钢(申万)
850521.SI,金属新材料Ⅲ(申万)
850522.SI,磁性材料(申万)
850523.SI,非金属新材料(申万)
850531.SI,黄金Ⅲ(申万)
850541.SI,稀土(申万)
850542.SI,钨(申万)
850543.SI,锂(申万)
850544.SI,其他稀有小金属(申万)
850551.SI,铝(申万)
850552.SI,铜(申万)
850553.SI,铅锌(申万)
850611.SI,玻璃制造Ⅲ(申万)
850612.SI,水泥制造Ⅲ(申万)
850614.SI,其他建材Ⅲ(申万)
850615.SI,耐火材料(申万)
850616.SI,管材(申万)
850623.SI,房屋建设Ⅲ(申万)
850711.SI,机床工具(申万)
850712.SI,机械基础件(申万)
850713.SI,磨具磨料(申万)
850714.SI,内燃机(申万)
850715.SI,制冷空调设备(申万)
850716.SI,其它通用机械(申万)
850721.SI,纺织服装设备(申万)
850722.SI,工程机械(申万)
850723.SI,农用机械(申万)
850724.SI,重型机械(申万)
850725.SI,冶金矿采化工设备(申万)
850726.SI,印刷包装机械(申万)
850727.SI,其它专用机械(申万)
850728.SI,楼宇设备(申万)
850729.SI,环保设备(申万)
850731.SI,仪器仪表Ⅲ(申万)
850741.SI,电机Ⅲ(申万)
850751.SI,金属制品Ⅲ(申万)
850811.SI,集成电路(申万)
850812.SI,分立器件(申万)
850813.SI,半导体材料(申万)
850822.SI,印制电路板(申万)
850823.SI,被动元件(申万)
850831.SI,显示器件Ⅲ(申万)
850832.SI,LED(申万)
850833.SI,光学元件(申万)
850841.SI,其他电子Ⅲ(申万)
850851.SI,电子系统组装(申万)
850852.SI,电子零部件制造(申万)
850911.SI,乘用车(申万)
850912.SI,商用载货车(申万)
850913.SI,商用载客车(申万)
850921.SI,汽车零部件Ⅲ(申万)
850935.SI,船舶制造(申万)
850936.SI,铁路设备(申万)
850941.SI,汽车服务Ⅲ(申万)
851012.SI,终端设备(申万)
851013.SI,通信传输设备(申万)
851014.SI,通信配套服务(申万)
851021.SI,计算机设备Ⅲ(申万)
851111.SI,冰箱(申万)
851112.SI,空调(申万)
851113.SI,洗衣机(申万)
851114.SI,小家电(申万)
851115.SI,家电零部件(申万)
851121.SI,彩电(申万)
851122.SI,其它视听器材(申万)
851231.SI,白酒(申万)
851232.SI,啤酒(申万)
851233.SI,其他酒类(申万)
851234.SI,软饮料(申万)
851235.SI,葡萄酒(申万)
851236.SI,黄酒(申万)
851241.SI,肉制品(申万)
851242.SI,调味发酵品(申万)
851243.SI,乳品(申万)
851244.SI,食品综合(申万)
851311.SI,毛纺(申万)
851312.SI,棉纺(申万)
851313.SI,丝绸(申万)
851314.SI,印染(申万)
851315.SI,辅料(申万)
851316.SI,其他纺织(申万)
851322.SI,男装(申万)
851323.SI,女装(申万)
851324.SI,休闲服装(申万)
851325.SI,鞋帽(申万)
851326.SI,家纺(申万)
851327.SI,其他服装(申万)
851411.SI,造纸Ⅲ(申万)
851421.SI,包装印刷Ⅲ(申万)
851432.SI,家具(申万)
851433.SI,其他家用轻工(申万)
851434.SI,珠宝首饰(申万)
851435.SI,文娱用品(申万)
851441.SI,其他轻工制造Ⅲ(申万)
851511.SI,化学原料药(申万)
851512.SI,化学制剂(申万)
851521.SI,中药Ⅲ(申万)
851531.SI,生物制品Ⅲ(申万)
851541.SI,医药商业Ⅲ(申万)
851551.SI,医疗器械Ⅲ(申万)
851561.SI,医疗服务Ⅲ(申万)
851611.SI,火电(申万)
851612.SI,水电(申万)
851613.SI,燃机发电(申万)
851614.SI,热电(申万)
851615.SI,新能源发电(申万)
851621.SI,水务Ⅲ(申万)
851631.SI,燃气Ⅲ(申万)
851641.SI,环保工程及服务Ⅲ(申万)
851711.SI,港口Ⅲ(申万)
851721.SI,公交Ⅲ(申万)
851731.SI,高速公路Ⅲ(申万)
851741.SI,航空运输Ⅲ(申万)
851751.SI,机场Ⅲ(申万)
851761.SI,航运Ⅲ(申万)
851771.SI,铁路运输Ⅲ(申万)
851781.SI,物流Ⅲ(申万)
851811.SI,房地产开发Ⅲ(申万)
851821.SI,园区开发Ⅲ(申万)
851911.SI,银行Ⅲ(申万)
851921.SI,多元金融Ⅲ(申万)
851931.SI,证券Ⅲ(申万)
851941.SI,保险Ⅲ(申万)
852021.SI,贸易Ⅲ(申万)
852031.SI,百货(申万)
852032.SI,超市(申万)
852033.SI,多业态零售(申万)
852041.SI,专业连锁(申万)
852051.SI,一般物业经营(申万)
852052.SI,专业市场(申万)
852111.SI,人工景点(申万)
852112.SI,自然景点(申万)
852121.SI,酒店Ⅲ(申万)
852131.SI,旅游综合Ⅲ(申万)
852141.SI,餐饮Ⅲ(申万)
852151.SI,其他休闲服务Ⅲ(申万)
852211.SI,通信运营Ⅲ(申万)
852221.SI,互联网信息服务(申万)
852222.SI,移动互联网服务(申万)
852223.SI,其他互联网服务(申万)
852224.SI,有线电视网络(申万)
852225.SI,软件开发(申万)
852226.SI,IT服务(申万)
852241.SI,平面媒体(申万)
852242.SI,影视动漫(申万)
852243.SI,营销服务(申万)
852244.SI,其他文化传媒(申万)
852311.SI,综合Ⅲ(申万)
857221.SI,装修装饰Ⅲ(申万)
857231.SI,城轨建设(申万)
857232.SI,路桥施工(申万)
857233.SI,水利工程(申万)
857234.SI,铁路建设(申万)
857235.SI,其他基础建设(申万)
857241.SI,钢结构(申万)
857242.SI,化学工程(申万)
857243.SI,国际工程承包(申万)
857244.SI,其他专业工程(申万)
857251.SI,园林工程Ⅲ(申万)
857321.SI,电网自动化(申万)
857322.SI,工控自动化(申万)
857323.SI,计量仪表(申万)
857331.SI,综合电力设备商(申万)
857332.SI,风电设备(申万)
857333.SI,光伏设备(申万)
857334.SI,火电设备(申万)
857335.SI,储能设备(申万)
857336.SI,其它电源设备(申万)
857341.SI,高压设备(申万)
857342.SI,中压设备(申万)
857343.SI,低压设备(申万)
857344.SI,线缆部件及其他(申万)
857411.SI,航天装备Ⅲ(申万)
857421.SI,航空装备Ⅲ(申万)
857431.SI,地面兵装Ⅲ(申万)
858811.SI,其他交运设备Ⅲ(申万)
